Unnamed: 0,Brand,Current Price,Original Price,Discount Percentage,Rating,Number OF Ratings,Model Name,Dial Shape,Strap Color,Strap Material,Touchscreen,Battery Life (Days),Bluetooth,Display Size,Weight
187,12,4999.0,10999.0,54.55041367,4.3,2241.0,262,4,20,11,1,22.0,1,13,4
188,12,9047.0,17999.0,49.73609645,4.3,1779.0,164,0,4,4,1,22.0,1,9,0
189,12,7999.0,17333.0,53.8510356,4.3,1779.0,274,0,2,11,1,22.0,1,9,0
190,12,10999.0,13999.0,21.43010215,4.4,14613.0,165,0,2,3,1,22.0,1,14,4
191,16,12990.0,29999.0,56.69855662,4.4,35511.0,250,0,2,10,1,3.5,1,11,4
192,16,27999.0,29999.0,6.666888896,4.3,435.0,252,0,9,10,1,3.5,1,9,4
193,16,35999.0,39999.0,10.00025001,4.3,435.0,253,0,9,10,1,3.5,1,11,4
194,16,22749.0,37999.0,40.13263507,4.2,567.0,120,0,2,3,1,3.5,1,11,3
195,16,32999.0,35999.0,8.333564821,4.3,435.0,251,0,9,10,1,3.5,1,9,4
200,16,31999.0,34999.0,8.571673476,3.8,40.0,119,0,2,3,1,3.5,1,9,0
201,16,16999.0,34999.0,51.43004086,4.2,567.0,125,0,2,3,1,3.5,1,11,4
202,16,39490.0,7999.0,54.556201075,4.3,1489.0,109,0,2,4,1,3.5,1,15,0
204,16,31999.0,39999.0,20.00050001,4.2,567.0,122,0,2,3,1,3.5,1,9,0
205,16,28999.0,31999.0,9.375292978,3.8,12.0,124,0,20,3,1,3.5,1,9,4
206,16,11999.0,30990.0,61.28105841,4.3,1489.0,107,0,2,4,1,3.5,1,13,0
207,16,16999.0,28490.0,40.33345033,4.1,1980.0,115,0,11,11,1,3.5,1,11,4
208,16,16999.0,31990.0,46.86151922,4.4,23940.0,116,0,2,4,1,3.5,1,14,0
209,16,16999.0,25990.0,34.59407464,4.4,23940.0,114,0,1,11,1,3.5,1,14,4
210,16,27490.0,29989.0,8.333055454,4.2,201.0,112,0,2,11,1,3.5,1,15,3
211,16,19990.0,7999.0,54.556201075,4.3,68.0,113,0,3,10,1,3.5,1,8,4
212,16,24490.0,28490.0,14.04001404,3.7,153.0,110,0,1,11,1,3.5,1,14,0
213,16,30990.0,34490.0,10.14786895,4.1,1980.0,117,0,4,11,1,17.5,1,11,0
214,16,29990.0,30990.0,3.22684737,4.3,1489.0,108,0,20,4,1,3.5,1,13,0
215,16,16990.0,33999.0,50.027942,4.5,12211.0,111,0,2,10,1,3.5,1,15,3
216,7,11699.0,14999.0,22.00146676,4.3,3999.0,233,5,2,11,1,3.5,1,10,0
217,7,14999.0,7999.0,54.556201075,4.7,1014.0,33,4,2,11,1,22.0,1,7,4
218,7,14999.0,7999.0,54.556201075,4.7,5.0,372,4,3,11,1,3.5,0,10,0
219,7,14999.0,7999.0,54.556201075,4.7,6.0,371,4,2,11,1,3.5,0,2,0
220,7,20499.0,7999.0,54.556201075,4.7,114.0,80,2,20,11,1,3.5,1,2,0
221,7,8999.0,7999.0,54.556201075,4.7,1014.0,148,4,15,11,1,22.0,1,4,0
222,7,8999.0,7999.0,54.556201075,4.7,1014.0,82,4,19,10,1,3.5,0,2,0
223,7,17699.0,18999.0,6.842465393,4.3,455.0,235,2,2,10,1,17.5,1,17,0
224,7,20499.0,7999.0,54.556201075,4.7,114.0,236,5,0,11,1,17.5,1,12,0
225,7,20999.0,22999.0,8.696030262,4.2,547.0,203,2,2,10,1,17.5,1,13,4
226,7,8999.0,23499.0,61.70475339,4.1,4475.0,238,5,6,2,1,3.5,1,10,0
227,7,26499.0,7999.0,54.556201075,4.1,367.0,157,5,11,10,1,17.5,1,10,0
228,7,19999.0,7999.0,54.556201075,4.2,1583.0,28,1,2,10,1,3.5,1,10,0
229,7,24990.0,7999.0,54.556201075,3.9,188.0,216,5,3,10,1,22.0,1,10,0
230,7,16999.0,7999.0,54.556201075,4.2,426.0,237,5,22,11,1,3.5,1,7,0
232,7,20590.0,21499.0,4.228103633,4.1,4475.0,232,5,2,11,1,3.5,1,10,0
234,7,15499.0,23999.0,35.41814242,4.5,92.0,234,5,16,2,1,17.5,1,14,0
235,7,20499.0,7999.0,54.556201075,4.7,1014.0,79,2,2,10,1,3.5,1,2,0
236,7,20499.0,7999.0,54.556201075,4.7,1014.0,81,2,3,10,1,22.0,1,2,0
237,0,3999.0,5999.0,33.33888981,4.2,3130.0,185,5,20,11,1,22.0,1,15,3
238,0,7499.0,16999.0,55.88564033,4.3,11520.0,99,0,11,11,1,8.0,1,11,4
239,0,4499.0,5999.0,25.00416736,4.1,333.0,24,5,1,11,1,8.0,1,14,4
240,0,9999.0,17999.0,44.44691372,4.5,5265.0,218,0,2,11,1,12.5,1,10,3
241,0,16999.0,23999.0,29.167882,4.3,575.0,103,0,2,11,1,8.0,1,11,4
242,0,4999.0,6999.0,28.57551079,4.1,4694.0,27,4,20,11,1,22.0,1,11,4
243,0,13999.0,18999.0,26.31717459,4.1,306.0,104,5,14,11,1,8.0,1,15,0
244,0,13999.0,18999.0,26.31717459,4.1,918.0,101,0,11,11,1,17.5,1,11,0
245,0,18999.0,25999.0,26.92411247,4.2,115.0,102,0,4,11,1,8.0,1,11,0
246,0,6999.0,9999.0,30.0030003,3.7,81.0,106,4,2,11,1,8.0,1,13,0
247,0,8999.0,13999.0,35.71683692,4.3,578.0,100,0,2,11,1,17.5,1,11,4
249,0,2999.0,5999.0,50.00833472,3.8,15.0,26,5,2,11,1,22.0,1,11,4
